順位,装備Lv,項目,設定,期待メソ (B),スコア,メソ/スコア (M),種別
63,160,潜在 帽子 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,2.45,91.8,26.69,潜在
64,150,スタフォ 20→21★,1144 / モード4,1.811,67,27.03,スタフォ
65,150,スタフォ 20→21★,4444 / モード4,1.811,67,27.03,スタフォ
66,200,潜在 帽子 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,2.506,91.8,27.31,潜在
67,250,潜在 帽子 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,2.595,91.8,28.27,潜在
68,150,潜在 帽子 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,2.438,82.4,29.57,潜在
69,160,スタフォ 20→21★,1144 / モード4,2.198,73,30.11,スタフォ
70,160,スタフォ 20→21★,4444 / モード4,2.198,73,30.11,スタフォ
71,250,スタフォ 0→18★,破壊防止あり(15-17),8.336,271,30.76,スタフォ
72,160,潜在 手袋 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,2.741,82.0,33.43,潜在
73,200,潜在 手袋 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,2.804,82.0,34.2,潜在
74,150,スタフォ 19→20★,1144 / モード1,2.173,63,34.49,スタフォ
75,160,潜在 一体型 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,3.224,91.2,35.36,潜在
76,160,潜在 上衣 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,3.224,91.2,35.36,潜在
77,250,潜在 手袋 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,2.903,82.0,35.4,潜在
78,200,スタフォ 18→19★,1144 / モード1,2.695,75,35.94,スタフォ
79,200,潜在 一体型 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,3.298,91.2,36.17,潜在
80,200,潜在 上衣 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,3.298,91.2,36.17,潜在
81,250,潜在 一体型 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,3.414,91.2,37.45,潜在
82,250,潜在 上衣 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,3.414,91.2,37.45,潜在
83,150,潜在 手袋 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,2.728,72.6,37.56,潜在
84,160,スタフォ 19→20★,1144 / モード1,2.637,69,38.22,スタフォ
85,150,潜在 一体型 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,3.208,81.8,39.24,潜在
86,150,潜在 上衣 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,3.208,81.8,39.24,潜在
87,150,潜在 手袋 / クリダメ%2ライン ←1ライン,ブライトキューブ,8.688,221.3,39.25,潜在
88,160,潜在 手袋 / クリダメ%2ライン ←1ライン,ブライトキューブ,8.712,219.6,39.66,潜在
89,200,潜在 手袋 / クリダメ%2ライン ←1ライン,ブライトキューブ,8.824,219.6,40.17,潜在
90,250,潜在 手袋 / クリダメ%2ライン ←1ライン,ブライトキューブ,8.998,219.6,40.97,潜在
91,200,スタフォ 20→21★,1144 / モード4,4.293,83,51.73,スタフォ
92,200,スタフォ 20→21★,4444 / モード4,4.293,83,51.73,スタフォ
93,160,潜在 ハート / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,5.297,95.6,55.41,潜在
94,200,潜在 ハート / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,5.419,95.6,56.68,潜在
95,250,潜在 ハート / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,5.61,95.6,58.68,潜在
96,150,潜在 ハート / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,5.271,87.2,60.43,潜在
97,250,スタフォ 18→19★,1144 / モード1,5.264,85,61.93,スタフォ
98,200,スタフォ 19→20★,1144 / モード1,5.151,79,65.2,スタフォ
99,160,潜在 アクセ(指輪等) / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,7.964,99.7,79.87,潜在
100,200,潜在 アクセ(指輪等) / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,8.148,99.7,81.7,潜在
101,150,スタフォ 21→22★,1144 / モード4,6.161,75,82.14,スタフォ
102,150,スタフォ 21→22★,4444 / モード4,6.161,75,82.14,スタフォ
103,250,潜在 アクセ(指輪等) / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,8.434,99.7,84.58,潜在
104,150,潜在 アクセ(指輪等) / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,7.925,91.1,86.97,潜在
105,250,スタフォ 20→21★,1144 / モード4,8.385,93,90.16,スタフォ
106,250,スタフォ 20→21★,4444 / モード4,8.385,93,90.16,スタフォ
107,100,潜在 エンブレム / 攻撃%3ライン ←2ライン,グローイングキューブ,38.415,421.3,91.17,潜在
108,160,スタフォ 21→22★,1144 / モード4,7.477,81,92.31,スタフォ
109,160,スタフォ 21→22★,4444 / モード4,7.477,81,92.31,スタフォ
110,160,潜在 ベルト / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,9.345,98.4,94.95,潜在
111,160,潜在 マント / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,9.345,98.4,94.95,潜在
112,160,潜在 肩装飾 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,9.345,98.4,94.95,潜在
113,200,潜在 ベルト / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,9.56,98.4,97.13,潜在
114,200,潜在 マント / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,9.56,98.4,97.13,潜在
115,200,潜在 肩装飾 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,9.56,98.4,97.13,潜在
116,250,潜在 ベルト / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,9.896,98.4,100.55,潜在
117,250,潜在 マント / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,9.896,98.4,100.55,潜在
118,250,潜在 肩装飾 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,9.896,98.4,100.55,潜在
119,150,潜在 ベルト / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,9.298,89.7,103.61,潜在
120,150,潜在 マント / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,9.298,89.7,103.61,潜在
121,150,潜在 肩装飾 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,9.298,89.7,103.61,潜在
122,160,潜在 下衣 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,10.853,98.7,109.95,潜在
123,200,潜在 下衣 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,11.103,98.7,112.48,潜在
124,250,スタフォ 19→20★,1144 / モード1,10.061,89,113.04,スタフォ
125,250,潜在 下衣 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,11.493,98.7,116.44,潜在
126,150,潜在 下衣 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,10.799,90.0,120.05,潜在
127,160,潜在 靴 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,11.975,99.6,120.2,潜在
128,200,潜在 靴 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,12.25,99.6,122.96,潜在
129,150,スタフォ 18→19★,4444 / モード4,7.405,59,125.51,スタフォ
130,250,潜在 靴 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,12.681,99.6,127.29,潜在
131,160,潜在 武器 / 攻撃%3ライン ←2ライン,グローイングキューブ,54.494,427.3,127.52,潜在
132,200,潜在 武器 / 攻撃%3ライン ←2ライン,グローイングキューブ,55.748,427.3,130.46,潜在
133,150,潜在 靴 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,11.915,90.8,131.19,潜在
134,250,潜在 武器 / 攻撃%3ライン ←2ライン,グローイングキューブ,57.708,427.3,135.04,潜在
135,160,潜在 帽子 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,13.849,100.8,137.37,潜在
136,160,スタフォ 18→19★,4444 / モード4,8.987,65,138.27,スタフォ
137,150,潜在 武器 / 攻撃%3ライン ←2ライン,グローイングキューブ,54.224,386.3,140.39,潜在
138,200,潜在 帽子 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,14.168,100.8,140.53,潜在
139,250,潜在 帽子 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,14.666,100.8,145.47,潜在
140,150,潜在 帽子 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,13.78,92.0,149.85,潜在
141,200,スタフォ 21→22★,1144 / モード4,14.603,91,160.48,スタフォ
142,200,スタフォ 21→22★,4444 / モード4,14.603,91,160.48,スタフォ
143,160,潜在 手袋 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,15.49,91.9,168.64,潜在
144,200,潜在 手袋 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,15.847,91.9,172.52,潜在
145,250,潜在 手袋 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,16.404,91.9,178.59,潜在
146,160,潜在 一体型 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,18.212,100.7,180.9,潜在
147,160,潜在 上衣 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,18.212,100.7,180.9,潜在
148,160,潜在 手袋 / クリダメ%2ライン+ステ%1ライン ←クリダメ1ライン,ブライトキューブ,53.328,294.4,181.14,潜在
149,200,潜在 手袋 / クリダメ%2ライン+ステ%1ライン ←クリダメ1ライン,ブライトキューブ,54.01,294.4,183.46,潜在
150,150,潜在 手袋 / クリダメ%2ライン+ステ%1ライン ←クリダメ1ライン,ブライトキューブ,53.181,287.7,184.84,潜在
151,200,潜在 一体型 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,18.631,100.7,185.06,潜在
152,200,潜在 上衣 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,18.631,100.7,185.06,潜在
153,150,潜在 手袋 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,15.414,83.0,185.81,潜在
154,150,スタフォ 22→23★,1144 / モードなし(22★以上),13.438,72,186.63,スタフォ
155,250,潜在 手袋 / クリダメ%2ライン+ステ%1ライン ←クリダメ1ライン,ブライトキューブ,55.076,294.4,187.08,潜在
156,250,潜在 一体型 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,19.286,100.7,191.57,潜在
157,250,潜在 上衣 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,19.286,100.7,191.57,潜在
158,150,潜在 一体型 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,18.121,91.7,197.6,潜在
159,150,潜在 上衣 / 主ステ%3ライン(ALLステ%除く) ←2ライン,グローイングキューブ,18.121,91.7,197.6,潜在
160,160,潜在 補助武器 / 攻撃%3ライン ←2ライン,グローイングキューブ,87.636,436.8,200.61,潜在
161,200,潜在 補助武器 / 攻撃%3ライン ←2ライン,グローイングキューブ,89.653,436.8,205.23,潜在
162,150,スタフォ 19→20★,4444 / モード4,13.23,63,210.01,スタフォ
163,250,潜在 補助武器 / 攻撃%3ライン ←2ライン,グローイングキューブ,92.805,436.8,212.44,潜在
164,160,スタフォ 22→23★,1144 / モードなし(22★以上),16.308,76,214.58,スタフォ
165,150,潜在 補助武器 / 攻撃%3ライン ←2ライン,グローイングキューブ,87.202,395.3,220.58,潜在
166,160,スタフォ 19→20★,4444 / モード4,16.057,69,232.71,スタフォ
167,200,スタフォ 18→19★,4444 / モード4,17.553,75,234.04,スタフォ
168,250,スタフォ 21→22★,1144 / モード4,28.522,101,282.4,スタフォ
169,250,スタフォ 21→22★,4444 / モード4,28.522,101,282.4,スタフォ
170,200,スタフォ 22→23★,1144 / モードなし(22★以上),31.852,84,379.19,スタフォ
171,200,スタフォ 19→20★,4444 / モード4,31.361,79,396.98,スタフォ
172,250,スタフォ 18→19★,4444 / モード4,34.284,85,403.34,スタフォ
173,150,スタフォ 22→23★,4444 / モードなし(22★以上),31.973,72,444.07,スタフォ
174,150,スタフォ 23→24★,1144 / モードなし(22★以上),40.803,80,510.03,スタフォ
175,160,スタフォ 22→23★,4444 / モードなし(22★以上),38.804,76,510.58,スタフォ
176,160,スタフォ 23→24★,1144 / モードなし(22★以上),49.519,84,589.51,スタフォ
177,250,スタフォ 22→23★,1144 / モードなし(22★以上),62.211,92,676.2,スタフォ
178,250,スタフォ 19→20★,4444 / モード4,61.252,89,688.23,スタフォ
179,200,スタフォ 22→23★,4444 / モードなし(22★以上),75.788,84,902.24,スタフォ
180,200,スタフォ 23→24★,1144 / モードなし(22★以上),96.717,92,1051.27,スタフォ
181,150,スタフォ 23→24★,4444 / モードなし(22★以上),91.252,80,1140.65,スタフォ
182,160,スタフォ 23→24★,4444 / モードなし(22★以上),110.746,84,1318.4,スタフォ
183,250,スタフォ 22→23★,4444 / モードなし(22★以上),148.024,92,1608.96,スタフォ
184,250,スタフォ 23→24★,1144 / モードなし(22★以上),188.899,100,1888.99,スタフォ
185,200,スタフォ 23→24★,4444 / モードなし(22★以上),216.3,92,2351.08,スタフォ
186,250,スタフォ 23→24★,4444 / モードなし(22★以上),422.459,100,4224.59,スタフォ
187,150,潜在 手袋 / クリダメ%3ライン ←2ライン,ブライトキューブ,2245,225.9,9936.83,潜在
188,160,潜在 手袋 / クリダメ%3ライン ←2ライン,ブライトキューブ,2251.2,224.3,10036.85,潜在
189,200,潜在 手袋 / クリダメ%3ライン ←2ライン,ブライトキューブ,2280,224.3,10165.26,潜在
190,250,潜在 手袋 / クリダメ%3ライン ←2ライン,ブライトキューブ,2325,224.3,10365.89,潜在
